url,title,journal_id
https://osp-pso.ent.dfo-mpo.ca/#/publication/36,"Matrice des traits fonctionnels des taxons échantillonnés  dans le relevé annuel écosystémique de l'estuaire et du  nord du golfe du Saint-Laurent",4624
https://osp-pso.ent.dfo-mpo.ca/#/publication/39,"Comparison of Pennatula aculeata sea pen abundance at  a fixed site over an extended period using machine learning, image annotation, and image cataloguing",7
https://osp-pso.ent.dfo-mpo.ca/#/publication/68,"Fieldnotes series, CHS",4624
https://osp-pso.ent.dfo-mpo.ca/#/publication/93,"A LOG OF THE CSS/CCGS HUDSON  1963-2022",9
https://osp-pso.ent.dfo-mpo.ca/#/publication/133,"Puntledge River Summer Chinook Habitat Status Report",4624
https://osp-pso.ent.dfo-mpo.ca/#/publication/135,"A life cycle model for Chinook salmon population dynamics",4624
https://osp-pso.ent.dfo-mpo.ca/#/publication/166,"State of the Oceans: Arctic",11
https://osp-pso.ent.dfo-mpo.ca/#/publication/177,"Oceanographic conditions in the Atlantic zone in 2023",4624
https://osp-pso.ent.dfo-mpo.ca/#/publication/195,"Juvenile Pacific Salmon (Oncorhynchus spp.) Trawl  Survey on the Coast of British Columbia and the Southern  Coast of Alaska, October 2 to November 6, 2011",3
https://osp-pso.ent.dfo-mpo.ca/#/publication/196,"Human Pax-5 C-terminal isoforms possess distinct transactivation properties and are differentially modulated in normal and malignant B cells",2842
https://osp-pso.ent.dfo-mpo.ca/#/publication/197,"Novel 5-lipoxygenase isoforms affect the biosynthesis of 5-lipoxygenase products",1651
https://osp-pso.ent.dfo-mpo.ca/#/publication/198,"Fuzzy J-Means and VNS methods for clustering genes from microarray data",594
https://osp-pso.ent.dfo-mpo.ca/#/publication/199,"Genetic markers of the immune response of Atlantic salmon (Salmo salar) to infectious salmon anemia virus (ISAV)",1672
https://osp-pso.ent.dfo-mpo.ca/#/publication/200,"Transcriptional response of Atlantic salmon (Salmo salar) after primary versus secondary exposure to infectious salmon anemia virus (ISAV)",3383
https://osp-pso.ent.dfo-mpo.ca/#/publication/201,"Modified low-salt CTAB extraction of high-quality DNA from contaminant-rich tissues",3375
https://osp-pso.ent.dfo-mpo.ca/#/publication/202,"Accelerated ISAV replication detection by cell culture methods combined with time-monitoring RT-qPCR",2658
https://osp-pso.ent.dfo-mpo.ca/#/publication/203,"In vivo virulence and genomic comparison of infectious Salmon Anaemia Virus isolates from Atlantic Canada",2658
https://osp-pso.ent.dfo-mpo.ca/#/publication/204,"Seascape genomics of eastern oyster (Crassostrea virginica) along the Atlantic coast of Canada",1613
https://osp-pso.ent.dfo-mpo.ca/#/publication/205,"MITOCHONDRIAL GENOME CONFORMATION AMONG CW-GROUP CHLOROPHYCEAN ALGAE",2902
https://osp-pso.ent.dfo-mpo.ca/#/publication/206,"MITOCHONDRIAL DNA IN THE OOGAMOCHLAMYS CLADE (CHLOROPHYCEAE): HIGH GC CONTENT AND UNIQUE GENOME ARCHITECTURE FOR GREEN ALGAE",2902
https://osp-pso.ent.dfo-mpo.ca/#/publication/242,"Estimating multiple years, tributary-specific, and overall Atlantic salmon smolt abundance in a large Canadian catchment using capture–mark–recapture experiments",2657
https://osp-pso.ent.dfo-mpo.ca/#/publication/243,"Methodological influence on detecting temperature effects on growth variability in juvenile Atlantic salmon",1454
https://osp-pso.ent.dfo-mpo.ca/#/publication/244,"Body length changes for Atlantic salmon (Salmo salar) over five decades exhibit weak spatial synchrony over a broad latitudinal gradient",1346
https://osp-pso.ent.dfo-mpo.ca/#/publication/245,"A potential growth thermal index for estimating juvenile Atlantic salmon (Salmo salar) size-at-age across geographical scales",2657
https://osp-pso.ent.dfo-mpo.ca/#/publication/246,"Hierarchical model detects decadal changes in calibration relationships of single-pass electrofishing indices of abundance of Atlantic salmon in two large Canadian catchments",801
https://osp-pso.ent.dfo-mpo.ca/#/publication/267,"Evaluation of two common vulnerability index calculation methods",3588
https://osp-pso.ent.dfo-mpo.ca/#/publication/269,"Drivers of coral and sponge community composition and size structure revealed with cumulative abundance profiles",3209
https://osp-pso.ent.dfo-mpo.ca/#/publication/273,"Worldwide soundscapes: a synthesis of passive acoustic monitoring across realms",1925
https://osp-pso.ent.dfo-mpo.ca/#/publication/286,"Near-bottom aggregations of Calanus spp. copepods in the southern Gulf of St. Lawrence in summer: significance for North Atlantic right whale foraging",2051
https://osp-pso.ent.dfo-mpo.ca/#/publication/293,"North Atlantic right whale (Eubalaena glacialis) and its food: (II) interannual variations in biomass of Calanus spp. on western North Atlantic shelves",2911
https://osp-pso.ent.dfo-mpo.ca/#/publication/296,"Defining a biomass limit reference point under time-varying productivity: a case study of Atlantic cod in the southern Gulf of St. Lawrence, Canada",801
https://osp-pso.ent.dfo-mpo.ca/#/publication/298,"Practices for Braiding Indigenous Knowledges and Western Sciences for Research and Monitoring of Biodiversity in Canada",1346
https://osp-pso.ent.dfo-mpo.ca/#/publication/299,"Physical, Chemical, Biological, and Optical Oceanographic Conditions in the Labrador Sea in 2024",9
https://osp-pso.ent.dfo-mpo.ca/#/publication/303,"Chemical and biological oceanographic conditions in the Labrador Sea from 2019 to 2023",9
https://osp-pso.ent.dfo-mpo.ca/#/publication/304,"SOPhyE Satellite Data Processing Technical Report Series: 1. Ocean Colour Satellite Intercalibration",9
